"Incident ID","Incident Date",State,"City Or County",Address,"# Victims Injured","# Victims Killed","# Subjects-Suspects Injured","# Subjects-Suspects Killed","# Subjects-Suspects Arrested",Operations
657854,"September 18, 2016",Pennsylvania,Philadelphia,"3001 Castor Avenue",4,0,0,0,0,N/A
658226,"September 18, 2016",Pennsylvania,Pittsburgh,"1700 block of Brighton Pl",4,0,0,0,0,N/A
657863,"September 18, 2016",Virginia,Lynchburg,"421 Rivermont Ave",3,1,0,0,0,N/A
657634,"September 17, 2016","District of Columbia",Washington,"2600 block of Birney Pl SE",7,2,0,0,0,N/A
659289,"September 17, 2016",Florida,Miami,"20582 SW 119th Ave",6,0,0,0,3,N/A
657136,"September 17, 2016",Florida,Orlando,"3918 Columbia St",6,1,0,0,0,N/A
657151,"September 17, 2016",Indiana,Indianapolis,"2016 West 76th Street",2,2,0,0,0,N/A
656991,"September 16, 2016",California,"Los Angeles (Hollywood)","555 N Heliotrope Dr",2,2,0,0,0,N/A
657023,"September 16, 2016",Pennsylvania,Philadelphia,"5100 block of Sansom St",5,1,0,1,0,N/A
655512,"September 14, 2016",Texas,Humble,"16000 block of Saybrook",3,1,0,0,0,N/A
654087,"September 13, 2016",Indiana,"Fort Wayne","1723 E Wayne St",2,3,0,0,0,N/A
653077,"September 11, 2016",Louisiana,"New Orleans","2349 S Claiborne Ave",5,1,0,0,0,N/A
652584,"September 11, 2016",Missouri,"Kansas City","500 block of Westport Rd",6,0,0,0,2,N/A
652561,"September 11, 2016",Michigan,Saginaw,"2207 Pierce Road",5,0,0,0,0,N/A
652606,"September 11, 2016","North Carolina","New Bern","1100 block of Highway 70",5,0,0,0,0,N/A
652642,"September 11, 2016",Indiana,"Fort Wayne","3006 Holton Avenue",1,3,0,0,1,N/A
652759,"September 11, 2016","New Jersey","Jersey City","87 Van Wagenen Ave",3,1,0,0,1,N/A
652175,"September 10, 2016",Florida,Miami,"3451 Northwest 36 Street",3,1,0,0,1,N/A
651957,"September 8, 2016",Texas,"Del Valle","8330 Linden Rd",0,4,0,0,0,N/A
651434,"September 8, 2016",Arkansas,"Hot Springs National Park (Hot Springs)","300 block of Lacey St",4,1,0,0,2,N/A
648884,"September 5, 2016",Illinois,Chicago,"2700 block of W Lexington Ave",3,2,0,0,0,N/A
648490,"September 5, 2016",Pennsylvania,Reading,"600 block of Moss Street",4,0,0,0,0,N/A
647865,"September 4, 2016",Virginia,Roanoke,"1020 Orange Ave NE",10,1,0,0,0,N/A
646995,"September 3, 2016","North Carolina",Wilmington,"600 block of North 30th St",3,1,0,0,0,N/A
646855,"September 3, 2016",Illinois,Chicago,"100 block of North Seeley Avenue",4,0,0,0,0,N/A
644723,"August 30, 2016",Georgia,Atlanta,"400 Merritts Avenue NE",4,0,0,0,0,N/A
643824,"August 30, 2016",Illinois,"Chicago (Englewood)","6800 block of South Ashland",4,0,0,0,0,N/A
641732,"August 29, 2016","New Jersey","Egg Harbor City","907 White Horse Pike",1,1,4,0,6,N/A
641419,"August 28, 2016",Texas,Lubbock,"2200 block of 17th St",6,0,0,0,0,N/A
640677,"August 28, 2016","New York",Bronx,"514 E 156th St",4,0,0,0,0,N/A
640689,"August 28, 2016",Missouri,"Saint Louis","S Grand Blvd and Montana St",2,2,0,0,0,N/A
640861,"August 28, 2016",Alabama,Dadeville,"512 E Columbus St",5,0,0,0,0,N/A
640500,"August 27, 2016",Alabama,"Bessemer (Brighton)","3810 7th Ave",6,1,0,0,3,N/A
640203,"August 27, 2016",Florida,Miami,"1900 block of NW 83rd Terr",4,2,0,0,0,N/A
640901,"August 25, 2016","New Jersey",Bridgeton,"Marion Street",5,0,0,0,0,N/A
634889,"August 21, 2016",Massachusetts,Boston,"Westview and Stratton Street",4,0,0,0,0,N/A
634787,"August 21, 2016",Connecticut,Bridgeport,"19 Plymouth St",13,0,0,0,0,N/A
634238,"August 20, 2016",Connecticut,Hamden,"903 Dixwell Ave",4,0,0,0,1,N/A
634731,"August 20, 2016",Washington,Tacoma,"900 block of Pacific Avenue",5,0,0,0,0,N/A
